kind,expected,heard,ref_index,clip_id,provider,accent,tier,domain
DOSE-MISS,100 ml,,18,1dda8dca0b084c03fc5ea2a901de6043,dg-general,igbo,A,clinical
NEG-FLIP,never,,1,1e1f4d7a25294e5853a6c798329b69b9,dg-general,swahili,A,general
DOSE-MISS,4 l,,5,20d0b5e49fb27db230bccda1d2c38946,dg-general,delta,C,clinical
DRUG-DEL,atovaquone,,0,22347a0c96066c23a0b4037028963e8c,dg-general,kinyarwanda,B,clinical
DOSE-MISS,5 ml,,8,25dead43f9b4f15ff2360caf740a560c,dg-general,yoruba,A,clinical
DRUG-DEL,conjugated,,6,2642efa06e8a4c32bc730201ae6b8110,dg-general,xhosa,B,clinical
DOSE-UNIT,40 meq,40 mg,16,27984ad90703cedf54d2c84bfc6e1a3c,dg-general,hausa,A,clinical
DRUG-DEL,multivitamin,,35,2a2db36f700c4b370d82f111f4e23096,dg-general,etsako,C,clinical
DOSE-VAL,8 units,80 units,6,320840b5470cf91679cb154ecddc4d86,dg-general,hausa,A,clinical
DRUG-DEL,labetalol,,7,3fd85b94085df416782fb04d0f9da75a,dg-general,kinyarwanda,B,clinical
DOSE-VAL,15 mg,50 mg,11,47563df782e059f397a062dc9c49dedc,dg-general,ebira,B,clinical
DOSE-VAL,35 ml,335 ml,3,52ad387abe4206177fecb12004fc81c5,dg-general,pidgin,B,clinical
DRUG-DEL,morphine,,12,5b5cea61187384389906b36683ffa428,dg-general,zulu,B,clinical
DOSE-MISS,60 ml,,3,68d7b378f686a4ea235df042be92df7c,dg-general,yoruba,A,clinical
DRUG-DEL,meprobamate,,6,6b6bd6a9b36dbd20ca8ba0b48a0e83c0,dg-general,igbo,A,clinical
DRUG-DEL,haloperidol,,18,7ac2b7f21b9550f6de49f8047e0c0e19,dg-general,luo,C,clinical
NEG-FLIP,not,,1,7ecb769ffb1875b51a824aec75d2f79c,dg-general,kinyarwanda,B,general
DRUG-DEL,estradiol,,17,8132758125fa0e3156821052a383f9ef,dg-general,hausa,A,clinical
DRUG-DEL,norethindrone,,18,8132758125fa0e3156821052a383f9ef,dg-general,hausa,A,clinical
DOSE-MISS,0.035 mg,,19,8132758125fa0e3156821052a383f9ef,dg-general,hausa,A,clinical
DOSE-MISS,0.035 mg,,19,8132758125fa0e3156821052a383f9ef,dg-general,hausa,A,clinical
DOSE-MISS,0.035 mg,,19,8132758125fa0e3156821052a383f9ef,dg-general,hausa,A,clinical
DOSE-MISS,0.5 mg,,25,8132758125fa0e3156821052a383f9ef,dg-general,hausa,A,clinical
DOSE-MISS,0.75 mg,,27,8132758125fa0e3156821052a383f9ef,dg-general,hausa,A,clinical
DRUG-DEL,nitroglycerin,,1,824c7c4c945e6189c231341493d25e5d,dg-general,sepedi,C,clinical
NEG-FLIP,not,,20,82faa4bc24f3ce811e8e07503edfbebb,dg-general,yoruba,A,clinical
NEG-FLIP,not,,22,82faa4bc24f3ce811e8e07503edfbebb,dg-general,yoruba,A,clinical
DOSE-MISS,22 units,,3,868ed2786d8b2dedffe5b5358c2c529d,dg-general,agatu,C,clinical
DOSE-MISS,130 ml,,2,8a9cea52e9b59a3a21705dc3c2885d04,dg-general,nyandang,C,clinical
DRUG-DEL,trimethoprim,,10,8cb3809701786ccfebe73b788fdbf219,dg-general,setswana,B,general
DRUG-DEL,imatinib,,10,927f85be5b655d2292720b02da67a9f2,dg-general,pidgin,B,clinical
DRUG-DEL,labetalol,,0,95db94bcf9a5dca2090b618996026b61,dg-general,mada,C,clinical
DOSE-MISS,42 ml,,16,a118dd3124494bfe59ab23ed58e83735,dg-general,idah,C,clinical
NEG-FLIP,no,,9,a46605b3fdc92295cbd88bb861487e58,dg-general,ijaw,A,general
DRUG-DEL,quetiapine,,0,a52cc1bdf941a9b4d76061ddbda05072,dg-general,igbo,A,clinical
DRUG-DEL,lumefantrine,,9,a8b08dfb2d86e274967be71c137de2c2,dg-general,idoma,B,general
DRUG-DEL,temazepam,,9,aa3d0d5b66d4e3ae1d00cd720b8a0fb7,dg-general,mwaghavul,C,clinical
DRUG-DEL,temazepam,,9,aa3d0d5b66d4e3ae1d00cd720b8a0fb7,dg-general,mwaghavul,C,clinical
DRUG-DEL,cetirizine,,4,b89670db369c7e025fb0d74ca94533af,dg-general,hausa,A,clinical
DRUG-DEL,cetirizine,,4,b89670db369c7e025fb0d74ca94533af,dg-general,hausa,A,clinical
DOSE-MISS,5 ml,,9,b89670db369c7e025fb0d74ca94533af,dg-general,hausa,A,clinical
DRUG-DEL,estradiol,,18,b9fbfa440d2ba2a19ff2e1f37ee2edf4,dg-general,yoruba,A,clinical
NEG-FLIP,not,,0,beddeac62f5277f00a937c79f65eaa98,dg-general,igbo,A,clinical
DRUG-DEL,levothyroxine,,1,bfeb15fa6cda5bc99eca0dfa907afdfd,dg-general,igarra,C,clinical
DOSE-MISS,50 mcg,,2,bfeb15fa6cda5bc99eca0dfa907afdfd,dg-general,igarra,C,clinical
DRUG-DEL,ritonavir,,11,c361cf1ef4cfa79c13cac6ea5f92ff83,dg-general,swahili,A,clinical
DRUG-DEL,ritonavir,,11,c361cf1ef4cfa79c13cac6ea5f92ff83,dg-general,swahili,A,clinical
DRUG-DEL,rituximab,,4,c43d8faa6efe9020bdd669a67ba1e988,dg-general,efik,C,clinical
DRUG-DEL,hyaluronidase,,5,c43d8faa6efe9020bdd669a67ba1e988,dg-general,efik,C,clinical
DRUG-DEL,venlafaxine,,3,ce44e5e5a82a4afd35c8538c0c3cbeee,dg-general,igbo,A,clinical
DRUG-DEL,sucralfate,,9,cee69f2a5332655a8e0bf4626e3c67c5,dg-general,ibibio,B,clinical
DRUG-DEL,lisdexamfetamine,,4,cf605b3aaadbd365452e997fbc78122d,dg-general,efik,C,clinical
DOSE-MISS,40 ml,,2,eaa66b82d267fa11b54cf412eb32aab3,dg-general,idoma,B,clinical
DRUG-DEL,meloxicam,,0,ec18809717922ca38ceeb713515fbcff,dg-general,sesotho,C,clinical
DRUG-DEL,erythromycin,,0,ee52a0bb537315a9e13798dc8dfbd627,dg-general,idoma,B,clinical
DOSE-MISS,3.6 ml,,3,ee9c796e757ac3a2493c10bd9d7029c5,dg-general,yoruba,A,clinical
DRUG-DEL,zosyn,,2,f1c88ce543440298faaed9f743d579de,dg-general,hausa,A,clinical
DOSE-UNIT,0.5 mcg,0.5 mg,2,f5cb123d9ff58506553397ea7d69d50a,dg-general,etche,C,clinical
NEG-FLIP,not,,1,f90956b98a371a04fb2d01be89fe11cf,dg-general,yoruba,A,clinical
DOSE-MISS,57 ml,,1,fb226674b17933ee5365ba61f4e6f578,dg-general,etche,C,clinical
DOSE-MISS,60 ml,,5,fb226674b17933ee5365ba61f4e6f578,dg-general,etche,C,clinical
DRUG-DEL,dantrolene,,0,fbb74c6452c0cd8839a84a8e8a6edeab,dg-general,akan,C,clinical
DRUG-DEL,reglan,,0,00f29afe5b9419051ece6254c7671140,dg-medical,ijaw,A,clinical
DRUG-DEL,ceftriaxone,,4,11caa8fa466d48bcc966b305b18a3141,dg-medical,ogoni,C,clinical
DRUG-DEL,digoxin,,10,1a91bdf81acf149c03a3c48254cc5273,dg-medical,luhya,B,clinical
DRUG-DEL,pimozide,,5,1ab41137caf537cf2d196c3914d95b48,dg-medical,isizulu,B,clinical
DOSE-MISS,100 ml,,18,1dda8dca0b084c03fc5ea2a901de6043,dg-medical,igbo,A,clinical
DOSE-MISS,100 ml,,18,1dda8dca0b084c03fc5ea2a901de6043,dg-medical,igbo,A,clinical
NEG-FLIP,never,,1,1e1f4d7a25294e5853a6c798329b69b9,dg-medical,swahili,A,general
DOSE-MISS,4 l,,5,20d0b5e49fb27db230bccda1d2c38946,dg-medical,delta,C,clinical
DOSE-MISS,5 ml,,8,25dead43f9b4f15ff2360caf740a560c,dg-medical,yoruba,A,clinical
DRUG-DEL,conjugated,,6,2642efa06e8a4c32bc730201ae6b8110,dg-medical,xhosa,B,clinical
DOSE-UNIT,40 meq,40 mg,16,27984ad90703cedf54d2c84bfc6e1a3c,dg-medical,hausa,A,clinical
DOSE-VAL,8 units,80 units,6,320840b5470cf91679cb154ecddc4d86,dg-medical,hausa,A,clinical
NEG-FLIP,no,,0,399eeb18cb0fb018270ccd9ea1861256,dg-medical,swahili,A,clinical
DOSE-VAL,15 mg,50 mg,11,47563df782e059f397a062dc9c49dedc,dg-medical,ebira,B,clinical
DOSE-VAL,35 ml,335 ml,3,52ad387abe4206177fecb12004fc81c5,dg-medical,pidgin,B,clinical
DRUG-DEL,morphine,,12,5b5cea61187384389906b36683ffa428,dg-medical,zulu,B,clinical
DOSE-MISS,60 ml,,3,68d7b378f686a4ea235df042be92df7c,dg-medical,yoruba,A,clinical
DRUG-DEL,meprobamate,,6,6b6bd6a9b36dbd20ca8ba0b48a0e83c0,dg-medical,igbo,A,clinical
DRUG-DEL,haloperidol,,18,7ac2b7f21b9550f6de49f8047e0c0e19,dg-medical,luo,C,clinical
DRUG-DEL,estradiol,,17,8132758125fa0e3156821052a383f9ef,dg-medical,hausa,A,clinical
DRUG-DEL,norethindrone,,18,8132758125fa0e3156821052a383f9ef,dg-medical,hausa,A,clinical
DOSE-MISS,0.035 mg,,19,8132758125fa0e3156821052a383f9ef,dg-medical,hausa,A,clinical
DOSE-MISS,0.035 mg,,19,8132758125fa0e3156821052a383f9ef,dg-medical,hausa,A,clinical
DOSE-MISS,0.035 mg,,19,8132758125fa0e3156821052a383f9ef,dg-medical,hausa,A,clinical
DOSE-MISS,0.5 mg,,25,8132758125fa0e3156821052a383f9ef,dg-medical,hausa,A,clinical
DOSE-MISS,0.75 mg,,27,8132758125fa0e3156821052a383f9ef,dg-medical,hausa,A,clinical
NEG-FLIP,not,,20,82faa4bc24f3ce811e8e07503edfbebb,dg-medical,yoruba,A,clinical
NEG-FLIP,not,,22,82faa4bc24f3ce811e8e07503edfbebb,dg-medical,yoruba,A,clinical
DOSE-VAL,250 mg,150 mg,15,868cbb2849424d087eb7b0b2dd76e3c6,dg-medical,bassa,C,clinical
DOSE-MISS,22 units,,3,868ed2786d8b2dedffe5b5358c2c529d,dg-medical,agatu,C,clinical
DRUG-DEL,imatinib,,10,927f85be5b655d2292720b02da67a9f2,dg-medical,pidgin,B,clinical
DOSE-VAL,113 days,13 days,2,957f35f6f15f3598a944d8e025c18c1e,dg-medical,hausa,A,clinical
DRUG-DEL,labetalol,,0,95db94bcf9a5dca2090b618996026b61,dg-medical,mada,C,clinical
NEG-FLIP,no,,7,96c0239bebf9812f391113c433a60ac3,dg-medical,swahili,A,clinical
DOSE-VAL,500 mg,100 mg,1,9d77d58566ed0e963ae1123e3ab50cee,dg-medical,idoma,B,clinical
DOSE-MISS,42 ml,,16,a118dd3124494bfe59ab23ed58e83735,dg-medical,idah,C,clinical
DRUG-SUB,quetiapine,humira,0,a52cc1bdf941a9b4d76061ddbda05072,dg-medical,igbo,A,clinical
DRUG-DEL,lumefantrine,,9,a8b08dfb2d86e274967be71c137de2c2,dg-medical,idoma,B,general
DRUG-DEL,captopril,,1,af4fbadeeb6f189c5d29e6526fa0b02c,dg-medical,idoma,B,clinical
DRUG-DEL,cetirizine,,4,b89670db369c7e025fb0d74ca94533af,dg-medical,hausa,A,clinical
DRUG-DEL,cetirizine,,4,b89670db369c7e025fb0d74ca94533af,dg-medical,hausa,A,clinical
DOSE-MISS,5 ml,,9,b89670db369c7e025fb0d74ca94533af,dg-medical,hausa,A,clinical
DOSE-MISS,30 units,,0,bde569d1c5436b9011e7291e0591791d,dg-medical,itsekiri,C,clinical
DRUG-DEL,levothyroxine,,1,bfeb15fa6cda5bc99eca0dfa907afdfd,dg-medical,igarra,C,clinical
DOSE-MISS,50 mcg,,2,bfeb15fa6cda5bc99eca0dfa907afdfd,dg-medical,igarra,C,clinical
DRUG-DEL,rituximab,,4,c43d8faa6efe9020bdd669a67ba1e988,dg-medical,efik,C,clinical
DRUG-DEL,hyaluronidase,,5,c43d8faa6efe9020bdd669a67ba1e988,dg-medical,efik,C,clinical
DRUG-DEL,lisdexamfetamine,,4,cf605b3aaadbd365452e997fbc78122d,dg-medical,efik,C,clinical
DOSE-MISS,4 hours,,4,ea252ca5cac42505a2bd8a34e4c85b1f,dg-medical,bagi,C,clinical
DOSE-MISS,40 ml,,2,eaa66b82d267fa11b54cf412eb32aab3,dg-medical,idoma,B,clinical
DRUG-DEL,meloxicam,,0,ec18809717922ca38ceeb713515fbcff,dg-medical,sesotho,C,clinical
DOSE-MISS,3.6 ml,,3,ee9c796e757ac3a2493c10bd9d7029c5,dg-medical,yoruba,A,clinical
DRUG-DEL,zosyn,,2,f1c88ce543440298faaed9f743d579de,dg-medical,hausa,A,clinical
DOSE-UNIT,0.5 mcg,0.5 mg,2,f5cb123d9ff58506553397ea7d69d50a,dg-medical,etche,C,clinical
NEG-FLIP,not,,1,f90956b98a371a04fb2d01be89fe11cf,dg-medical,yoruba,A,clinical
DOSE-MISS,57 ml,,1,fb226674b17933ee5365ba61f4e6f578,dg-medical,etche,C,clinical
DOSE-MISS,60 ml,,5,fb226674b17933ee5365ba61f4e6f578,dg-medical,etche,C,clinical
DRUG-DEL,dantrolene,,0,fbb74c6452c0cd8839a84a8e8a6edeab,dg-medical,akan,C,clinical
DRUG-DEL,reglan,,0,00f29afe5b9419051ece6254c7671140,gemini,ijaw,A,clinical
DRUG-DEL,iron,,2,06e79ca6e3f2bc5a6aefbd7be5f1f8e4,gemini,hausa,A,clinical
DRUG-DEL,tadalafil,,2,0700cda752bd76a9e0094aa81371a166,gemini,etsako,C,clinical
DRUG-DEL,tadalafil,,2,0700cda752bd76a9e0094aa81371a166,gemini,etsako,C,clinical
DRUG-DEL,ceftriaxone,,4,11caa8fa466d48bcc966b305b18a3141,gemini,ogoni,C,clinical
DOSE-MISS,2 days,,4,121b405d54487b5f413f30decd198810,gemini,berom,C,general
DOSE-MISS,2 hours,,7,16c2e642a0c9b3dc37e4b944aeeb2de0,gemini,angas,C,clinical
DRUG-DEL,pimozide,,5,1ab41137caf537cf2d196c3914d95b48,gemini,isizulu,B,clinical
NEG-FLIP,never,,1,1e1f4d7a25294e5853a6c798329b69b9,gemini,swahili,A,general
DOSE-MISS,4 l,,5,20d0b5e49fb27db230bccda1d2c38946,gemini,delta,C,clinical
DRUG-DEL,cerebrum,,7,21db7f42514ac22490b63d6887cba22f,gemini,isizulu,B,clinical
DRUG-DEL,atovaquone,,0,22347a0c96066c23a0b4037028963e8c,gemini,kinyarwanda,B,clinical
DRUG-DEL,conjugated,,6,2642efa06e8a4c32bc730201ae6b8110,gemini,xhosa,B,clinical
DOSE-MISS,40 meq,,16,27984ad90703cedf54d2c84bfc6e1a3c,gemini,hausa,A,clinical
DOSE-MISS,8 units,,6,320840b5470cf91679cb154ecddc4d86,gemini,hausa,A,clinical
DRUG-SUB,metoprolol,methotrexate,0,4524d44d0b4b586ba5f80bab94a36374,gemini,estako,C,clinical
DOSE-VAL,15 mg,50 mg,11,47563df782e059f397a062dc9c49dedc,gemini,ebira,B,clinical
DOSE-VAL,35 ml,335 ml,3,52ad387abe4206177fecb12004fc81c5,gemini,pidgin,B,clinical
DOSE-MISS,2 l,,4,58fb549d14b07c3aae8b252439917dce,gemini,idoma,B,clinical
DRUG-SUB,morphine,artesunate,12,5b5cea61187384389906b36683ffa428,gemini,zulu,B,clinical
NEG-FLIP,no,,4,63bd3c234d1d89a65ce8563f55787ac8,gemini,swahili,A,clinical
DOSE-MISS,60 ml,,3,68d7b378f686a4ea235df042be92df7c,gemini,yoruba,A,clinical
DRUG-DEL,phenylephrine,,16,695771856cc6a19aadcc9c02daeb816b,gemini,estako,C,clinical
DOSE-VAL,200 mg,400 mg,18,695771856cc6a19aadcc9c02daeb816b,gemini,estako,C,clinical
DRUG-DEL,pyrimethamine,,6,6afed7fe39a177c3d510b925d8267a94,gemini,swahili,A,general
NEG-FLIP,not,,1,7ecb769ffb1875b51a824aec75d2f79c,gemini,kinyarwanda,B,general
DRUG-DEL,estradiol,,17,8132758125fa0e3156821052a383f9ef,gemini,hausa,A,clinical
DRUG-DEL,norethindrone,,18,8132758125fa0e3156821052a383f9ef,gemini,hausa,A,clinical
DOSE-MISS,0.035 mg,,19,8132758125fa0e3156821052a383f9ef,gemini,hausa,A,clinical
DOSE-MISS,0.035 mg,,19,8132758125fa0e3156821052a383f9ef,gemini,hausa,A,clinical
DOSE-MISS,0.035 mg,,19,8132758125fa0e3156821052a383f9ef,gemini,hausa,A,clinical
DOSE-MISS,0.5 mg,,25,8132758125fa0e3156821052a383f9ef,gemini,hausa,A,clinical
DOSE-MISS,0.75 mg,,27,8132758125fa0e3156821052a383f9ef,gemini,hausa,A,clinical
DRUG-DEL,nitroglycerin,,1,824c7c4c945e6189c231341493d25e5d,gemini,sepedi,C,clinical
DOSE-MISS,130 ml,,2,8a9cea52e9b59a3a21705dc3c2885d04,gemini,nyandang,C,clinical
DRUG-DEL,imatinib,,10,927f85be5b655d2292720b02da67a9f2,gemini,pidgin,B,clinical
NEG-FLIP,no,,7,96c0239bebf9812f391113c433a60ac3,gemini,swahili,A,clinical
DRUG-DEL,zosyn,,4,9a375dac7ab12b6d59cffdb932f4d50b,gemini,hausa,A,clinical
DRUG-DEL,cefotaxime,,8,9b7de9c3315540a63648b9c1212db787,gemini,jaba,C,clinical
DOSE-MISS,42 ml,,16,a118dd3124494bfe59ab23ed58e83735,gemini,idah,C,clinical
NEG-FLIP,no,,9,a46605b3fdc92295cbd88bb861487e58,gemini,ijaw,A,general
DRUG-DEL,quetiapine,,0,a52cc1bdf941a9b4d76061ddbda05072,gemini,igbo,A,clinical
DOSE-VAL,25 mg,5 mg,2,a52cc1bdf941a9b4d76061ddbda05072,gemini,igbo,A,clinical
DRUG-DEL,lumefantrine,,9,a8b08dfb2d86e274967be71c137de2c2,gemini,idoma,B,general
DOSE-VAL,750 mg,2750 mg,15,a8c855fb76476df248ee0277b5d8b74a,gemini,hausa,A,clinical
DRUG-DEL,temazepam,,9,aa3d0d5b66d4e3ae1d00cd720b8a0fb7,gemini,mwaghavul,C,clinical
DRUG-DEL,temazepam,,9,aa3d0d5b66d4e3ae1d00cd720b8a0fb7,gemini,mwaghavul,C,clinical
DOSE-VAL,445 kg,4445 kg,7,aeffc6466b2f3e6a60d1a381c6688d62,gemini,igbo,A,general
DRUG-DEL,captopril,,1,af4fbadeeb6f189c5d29e6526fa0b02c,gemini,idoma,B,clinical
DRUG-DEL,clonidine,,3,af4fbadeeb6f189c5d29e6526fa0b02c,gemini,idoma,B,clinical
DRUG-DEL,cetirizine,,4,b89670db369c7e025fb0d74ca94533af,gemini,hausa,A,clinical
DRUG-DEL,cetirizine,,4,b89670db369c7e025fb0d74ca94533af,gemini,hausa,A,clinical
DRUG-DEL,ranitidine,,2,bb3702b2a7ae80986cc8dcd132ff2928,gemini,kalabari,C,clinical
DRUG-DEL,triazolam,,4,bd6c36ca7dfb7303fc8ca6e11274a52f,gemini,isixhosa,C,clinical
DOSE-VAL,30 units,10 units,0,bde569d1c5436b9011e7291e0591791d,gemini,itsekiri,C,clinical
NEG-FLIP,not,,0,beddeac62f5277f00a937c79f65eaa98,gemini,igbo,A,clinical
DRUG-DEL,levothyroxine,,1,bfeb15fa6cda5bc99eca0dfa907afdfd,gemini,igarra,C,clinical
DOSE-MISS,50 mcg,,2,bfeb15fa6cda5bc99eca0dfa907afdfd,gemini,igarra,C,clinical
DRUG-DEL,metoprolol,,1,c0a9d8722ec57a9d7c0014132185a05a,gemini,hausa,A,clinical
NEG-FLIP,no,,5,c18453be6b19c1812bdbeb7e32666683,gemini,hausa,A,clinical
NEG-FLIP,denies,,0,c2093acb790a4bbcaf0367cecfa15793,gemini,igbo,A,clinical
DRUG-DEL,ritonavir,,11,c361cf1ef4cfa79c13cac6ea5f92ff83,gemini,swahili,A,clinical
DRUG-DEL,ritonavir,,11,c361cf1ef4cfa79c13cac6ea5f92ff83,gemini,swahili,A,clinical
DRUG-DEL,rituximab,,4,c43d8faa6efe9020bdd669a67ba1e988,gemini,efik,C,clinical
DRUG-DEL,senna,,0,cdad5949ae6301810466710c9fa591b7,gemini,gbagyi,C,clinical
DRUG-DEL,sucralfate,,9,cee69f2a5332655a8e0bf4626e3c67c5,gemini,ibibio,B,clinical
DRUG-DEL,lisdexamfetamine,,4,cf605b3aaadbd365452e997fbc78122d,gemini,efik,C,clinical
DOSE-VAL,40 ml,140 ml,2,eaa66b82d267fa11b54cf412eb32aab3,gemini,idoma,B,clinical
DRUG-DEL,erythromycin,,0,ee52a0bb537315a9e13798dc8dfbd627,gemini,idoma,B,clinical
DOSE-MISS,3.6 ml,,3,ee9c796e757ac3a2493c10bd9d7029c5,gemini,yoruba,A,clinical
DRUG-DEL,zosyn,,2,f1c88ce543440298faaed9f743d579de,gemini,hausa,A,clinical
DRUG-DEL,calcitriol,,1,f5cb123d9ff58506553397ea7d69d50a,gemini,etche,C,clinical
DOSE-UNIT,0.5 mcg,0.5 mg,2,f5cb123d9ff58506553397ea7d69d50a,gemini,etche,C,clinical
NEG-FLIP,not,,1,f90956b98a371a04fb2d01be89fe11cf,gemini,yoruba,A,clinical
DOSE-MISS,57 ml,,1,fb226674b17933ee5365ba61f4e6f578,gemini,etche,C,clinical
DOSE-MISS,60 ml,,5,fb226674b17933ee5365ba61f4e6f578,gemini,etche,C,clinical
DRUG-DEL,reglan,,0,00f29afe5b9419051ece6254c7671140,whisper,ijaw,A,clinical
DOSE-MISS,5 mg,,4,0700cda752bd76a9e0094aa81371a166,whisper,etsako,C,clinical
DRUG-DEL,ativan,,17,0781b542e2bb0461fb14d4e1880ba8a7,whisper,obolo,C,clinical
DRUG-DEL,colchicine,,5,10d8ca94d220675578dbbe3e9fb05ce7,whisper,zulu,B,clinical
DRUG-DEL,ceftriaxone,,4,11caa8fa466d48bcc966b305b18a3141,whisper,ogoni,C,clinical
NEG-FLIP,not,,4,1a91bdf81acf149c03a3c48254cc5273,whisper,luhya,B,clinical
DRUG-DEL,digoxin,,10,1a91bdf81acf149c03a3c48254cc5273,whisper,luhya,B,clinical
DOSE-MISS,100 ml,,18,1dda8dca0b084c03fc5ea2a901de6043,whisper,igbo,A,clinical
DOSE-MISS,100 ml,,18,1dda8dca0b084c03fc5ea2a901de6043,whisper,igbo,A,clinical
NEG-FLIP,never,,1,1e1f4d7a25294e5853a6c798329b69b9,whisper,swahili,A,general
DOSE-MISS,4 l,,5,20d0b5e49fb27db230bccda1d2c38946,whisper,delta,C,clinical
DRUG-DEL,omnipaque,,20,21dcea0a9c98e415d126fa38c3e09e72,whisper,swahili,A,clinical
DRUG-DEL,atovaquone,,0,22347a0c96066c23a0b4037028963e8c,whisper,kinyarwanda,B,clinical
DOSE-MISS,3 hours,,3,233b65fe511818e326eff9bffdc2bf6f,whisper,hausa,A,clinical
DRUG-DEL,conjugated,,6,2642efa06e8a4c32bc730201ae6b8110,whisper,xhosa,B,clinical
DOSE-MISS,40 meq,,16,27984ad90703cedf54d2c84bfc6e1a3c,whisper,hausa,A,clinical
DRUG-DEL,multivitamin,,35,2a2db36f700c4b370d82f111f4e23096,whisper,etsako,C,clinical
DRUG-DEL,levonorgestrel,,10,2c417f9512707188cc0f0aba9d9a80ef,whisper,mada,C,clinical
DRUG-DEL,levonorgestrel,,10,2c417f9512707188cc0f0aba9d9a80ef,whisper,mada,C,clinical
NEG-FLIP,no,,9,36c14ff38c73d6ebc90db41430b058d1,whisper,igbo,A,clinical
DRUG-DEL,cyclosporine,,1,3c5572142e8029ffb07a9bbe17542aed,whisper,khana,C,clinical
DRUG-DEL,labetalol,,7,3fd85b94085df416782fb04d0f9da75a,whisper,kinyarwanda,B,clinical
DRUG-DEL,isotretinoin,,16,44fce3c7ec19dff506083c8a906750a3,whisper,ijaw,A,clinical
DRUG-DEL,metoprolol,,0,4524d44d0b4b586ba5f80bab94a36374,whisper,estako,C,clinical
NEG-FLIP,not,,15,4dd5b78a61fa2551f8ec92ce5c9c0de6,whisper,kiswahili,B,clinical
